symbol,name,price,token_id,exchange,sz_decimals,discovered_at
ZEN,ZEN,15.774,zen,hyperliquid,2,2025-11-03T16:43:24.968616
ZEREBRO,ZEREBRO,0.042469,zerebro,hyperliquid,0,2025-11-03T16:43:24.969036
ZETA,ZETA,0.10391,zeta,hyperliquid,1,2025-11-03T16:43:24.968792
ZK,ZK,0.046122,zk,hyperliquid,0,2025-11-03T16:43:24.968910
ZORA,ZORA,0.060305,zora,hyperliquid,0,2025-11-03T16:43:24.969148
ZRO,ZRO,1.4529,zro,hyperliquid,1,2025-11-03T16:43:24.968229
kBONK,kBONK,0.012175,kbonk,hyperliquid,0,2025-11-03T16:43:24.968653
kDOGS,kDOGS,0.13659,kdogs,hyperliquid,0,2025-11-03T16:43:24.968930
kFLOKI,kFLOKI,0.060365,kfloki,hyperliquid,0,2025-11-03T16:43:24.968838
kLUNC,kLUNC,0.038746,klunc,hyperliquid,0,2025-11-03T16:43:24.968695
kNEIRO,kNEIRO,0.15579,kneiro,hyperliquid,1,2025-11-03T16:43:24.968962
kPEPE,kPEPE,0.005771,kpepe,hyperliquid,0,2025-11-03T16:43:24.968060
kSHIB,kSHIB,0.009265,kshib,hyperliquid,0,2025-11-03T16:43:24.968170
